# The data points for the QLF at different redshift bins are given here.
# status 1 points are the selected points and status 0 points are the rejected points. 
# The columns are as follows:
# zmin   zmax   label                      status  mags      logphi      right    left     uperr    downerr
  0.40   0.60   Croom et al. 2009               1  -21.000   -5.829      0.300    0.300    0.051    0.051
  0.40   0.60   Croom et al. 2009               1  -20.400   -5.536      0.300    0.300    0.047    0.047
  0.40   0.60   Croom et al. 2009               1  -19.800   -5.606      0.300    0.300    0.067    0.067
  0.40   0.60   Croom et al. 2009               1  -19.200   -5.730      0.300    0.300    0.147    0.153
  0.40   0.60   Richards et al. 2006            1  -25.200   -8.258      0.300    0.300    0.134    0.139
  0.40   0.60   Richards et al. 2006            1  -24.600   -7.565      0.300    0.300    0.057    0.058
  0.40   0.60   Richards et al. 2006            1  -24.000   -7.091      0.300    0.300    0.033    0.033
  0.40   0.60   Richards et al. 2006            1  -23.400   -6.713      0.300    0.300    0.021    0.021
  0.40   0.60   Richards et al. 2006            1  -22.800   -6.379      0.300    0.300    0.014    0.014
  0.40   0.60   Richards et al. 2006            1  -22.200   -6.169      0.300    0.300    0.011    0.011
  0.40   0.60   Richards et al. 2006            1  -21.600   -6.117      0.300    0.300    0.014    0.014
  0.40   0.60   Richards et al. 2006            0  -21.000   -6.329      0.300    0.300    0.040    0.040
  0.60   0.80   Milliquas DR16Q gG              1  -27.000   -9.967      0.300    0.300    0.518    0.763
  0.60   0.80   Milliquas DR16Q gG              1  -26.400   -9.189      0.300    0.300    0.203    0.219
  0.60   0.80   Milliquas DR16Q gG              1  -25.800   -8.821      0.300    0.300    0.129    0.133
  0.60   0.80   Milliquas DR16Q gG              1  -25.200   -8.032      0.300    0.300    0.049    0.049
  0.60   0.80   Milliquas DR16Q gG              1  -24.600   -7.443      0.300    0.300    0.024    0.024
  0.60   0.80   Milliquas DR16Q gG              1  -24.000   -6.974      0.300    0.300    0.014    0.014
  0.60   0.80   Milliquas DR16Q gG              1  -23.400   -6.604      0.300    0.300    0.009    0.009
  0.60   0.80   Milliquas DR16Q gG              1  -22.800   -6.382      0.300    0.300    0.007    0.007
  0.60   0.80   Milliquas DR16Q gG              1  -22.200   -6.211      0.300    0.300    0.006    0.006
  0.60   0.80   Milliquas DR16Q gG              1  -21.600   -6.136      0.300    0.300    0.005    0.005
  0.60   0.80   Milliquas DR16Q gG              1  -21.000   -6.390      0.300    0.300    0.007    0.007
  0.60   0.80   Milliquas DR16Q gG              1  -20.400   -7.058      0.300    0.300    0.016    0.016
  0.60   0.80   Milliquas DR16Q gG              1  -19.800   -8.086      0.300    0.300    0.052    0.053
  0.60   0.80   Milliquas DR16Q gG              1  -19.200   -9.490      0.300    0.300    0.295    0.341
  0.60   0.80   Milliquas DR16Q gG              1  -18.600   -9.967      0.300    0.300    0.518    0.763
  0.60   0.80   Milliquas DR16 gG               1  -25.800   -9.268      0.300    0.300    0.224    0.246
  0.60   0.80   Milliquas DR16 gG               1  -25.200   -8.552      0.300    0.300    0.092    0.094
  0.60   0.80   Milliquas DR16 gG               1  -24.600   -8.399      0.300    0.300    0.077    0.078
  0.60   0.80   Milliquas DR16 gG               1  -24.000   -7.850      0.300    0.300    0.040    0.040
  0.60   0.80   Milliquas DR16 gG               1  -23.400   -7.536      0.300    0.300    0.027    0.027
  0.60   0.80   Milliquas DR16 gG               1  -22.800   -7.288      0.300    0.300    0.020    0.020
  0.60   0.80   Milliquas DR16 gG               1  -22.200   -7.078      0.300    0.300    0.016    0.016
  0.60   0.80   Milliquas DR16 gG               1  -21.600   -6.870      0.300    0.300    0.012    0.012
  0.60   0.80   Milliquas DR16 gG               1  -21.000   -6.925      0.300    0.300    0.013    0.013
  0.60   0.80   Milliquas DR16 gG               1  -20.400   -7.387      0.300    0.300    0.023    0.023
  0.60   0.80   Milliquas DR16 gG               1  -19.800   -8.286      0.300    0.300    0.067    0.067
  0.60   0.80   Milliquas DR16 gG               1  -19.200   -9.967      0.300    0.300    0.518    0.763
  0.60   0.80   Croom et al. 2009               1  -24.000   -6.954      0.300    0.300    0.163    0.172
  0.60   0.80   Croom et al. 2009               1  -23.400   -6.282      0.300    0.300    0.065    0.065
  0.60   0.80   Croom et al. 2009               1  -22.800   -6.044      0.300    0.300    0.052    0.052
  0.60   0.80   Croom et al. 2009               1  -22.200   -5.824      0.300    0.300    0.042    0.042
  0.60   0.80   Croom et al. 2009               1  -21.600   -5.583      0.300    0.300    0.033    0.033
  0.60   0.80   Croom et al. 2009               1  -21.000   -5.460      0.300    0.300    0.032    0.032
  0.60   0.80   Croom et al. 2009               0  -20.400   -5.726      0.300    0.300    0.058    0.059
  0.60   0.80   Croom et al. 2009               0  -19.800   -5.810      0.300    0.300    0.295    0.341
  0.60   0.80   Richards et al. 2006            1  -26.400   -8.860      0.300    0.300    0.224    0.246
  0.60   0.80   Richards et al. 2006            1  -25.800   -8.429      0.300    0.300    0.129    0.133
  0.60   0.80   Richards et al. 2006            1  -25.200   -7.592      0.300    0.300    0.046    0.047
  0.60   0.80   Richards et al. 2006            1  -24.600   -7.102      0.300    0.300    0.026    0.026
  0.60   0.80   Richards et al. 2006            1  -24.000   -6.708      0.300    0.300    0.017    0.017
  0.60   0.80   Richards et al. 2006            1  -23.400   -6.408      0.300    0.300    0.011    0.011
  0.60   0.80   Richards et al. 2006            0  -22.800   -6.302      0.300    0.300    0.013    0.013
  0.60   0.80   Richards et al. 2006            0  -22.200   -6.389      0.300    0.300    0.042    0.042
  0.80   1.00   Milliquas DR16Q gG              1  -27.000   -9.492      0.300    0.300    0.253    0.283
  0.80   1.00   Milliquas DR16Q gG              1  -26.400   -8.980      0.300    0.300    0.134    0.139
  0.80   1.00   Milliquas DR16Q gG              1  -25.800   -8.149      0.300    0.300    0.049    0.049
  0.80   1.00   Milliquas DR16Q gG              1  -25.200   -7.620      0.300    0.300    0.026    0.026
  0.80   1.00   Milliquas DR16Q gG              1  -24.600   -7.108      0.300    0.300    0.014    0.014
  0.80   1.00   Milliquas DR16Q gG              1  -24.000   -6.689      0.300    0.300    0.009    0.009
  0.80   1.00   Milliquas DR16Q gG              1  -23.400   -6.518      0.300    0.300    0.007    0.007
  0.80   1.00   Milliquas DR16Q gG              1  -22.800   -6.366      0.300    0.300    0.006    0.006
  0.80   1.00   Milliquas DR16Q gG              1  -22.200   -6.209      0.300    0.300    0.005    0.005
  0.80   1.00   Milliquas DR16Q gG              1  -21.600   -6.337      0.300    0.300    0.006    0.006
  0.80   1.00   Milliquas DR16Q gG              1  -21.000   -6.926      0.300    0.300    0.011    0.011
  0.80   1.00   Milliquas DR16Q gG              1  -20.400   -7.994      0.300    0.300    0.040    0.040
  0.80   1.00   Milliquas DR16Q gG              1  -19.800   -9.249      0.300    0.300    0.187    0.200
  0.80   1.00   Milliquas DR16Q gG              1  -18.000   -9.316      0.300    0.300    0.365    0.451
  0.80   1.00   Milliquas DR16 gG               1  -25.800   -9.316      0.300    0.300    0.203    0.219
  0.80   1.00   Milliquas DR16 gG               1  -25.200   -8.714      0.300    0.300    0.096    0.098
  0.80   1.00   Milliquas DR16 gG               1  -24.600   -8.015      0.300    0.300    0.041    0.042
  0.80   1.00   Milliquas DR16 gG               1  -24.000   -7.525      0.300    0.300    0.023    0.023
  0.80   1.00   Milliquas DR16 gG               1  -23.400   -7.201      0.300    0.300    0.016    0.016
  0.80   1.00   Milliquas DR16 gG               1  -22.800   -6.928      0.300    0.300    0.011    0.011
  0.80   1.00   Milliquas DR16 gG               1  -22.200   -6.694      0.300    0.300    0.009    0.009
  0.80   1.00   Milliquas DR16 gG               1  -21.600   -6.747      0.300    0.300    0.009    0.009
  0.80   1.00   Milliquas DR16 gG               1  -21.000   -7.277      0.300    0.300    0.017    0.017
  0.80   1.00   Milliquas DR16 gG               1  -20.400   -8.261      0.300    0.300    0.056    0.056
  0.80   1.00   Milliquas DR16 gG               1  -19.800   -9.492      0.300    0.300    0.253    0.283
  0.80   1.00   Milliquas DR16 gG               1  -19.200   -10.094     0.300    0.300    0.518    0.763
  0.80   1.00   Croom et al. 2009               1  -24.600   -6.760      0.300    0.300    0.109    0.112
  0.80   1.00   Croom et al. 2009               1  -24.000   -6.294      0.300    0.300    0.056    0.056
  0.80   1.00   Croom et al. 2009               1  -23.400   -6.162      0.300    0.300    0.048    0.048
  0.80   1.00   Croom et al. 2009               1  -22.800   -5.875      0.300    0.300    0.038    0.038
  0.80   1.00   Croom et al. 2009               1  -22.200   -5.616      0.300    0.300    0.030    0.030
  0.80   1.00   Croom et al. 2009               0  -21.600   -5.553      0.300    0.300    0.027    0.027
  0.80   1.00   Croom et al. 2009               0  -21.000   -5.607      0.300    0.300    0.037    0.037
  0.80   1.00   Croom et al. 2009               0  -20.400   -6.787      0.300    0.300    0.518    0.763
  0.80   1.00   Richards et al. 2006            1  -27.600   -9.511      0.300    0.300    0.518    0.763
  0.80   1.00   Richards et al. 2006            1  -27.000   -9.403      0.300    0.300    0.365    0.451
  0.80   1.00   Richards et al. 2006            1  -26.400   -8.403      0.300    0.300    0.106    0.109
  0.80   1.00   Richards et al. 2006            1  -25.800   -7.755      0.300    0.300    0.048    0.049
  0.80   1.00   Richards et al. 2006            1  -25.200   -7.224      0.300    0.300    0.026    0.026
  0.80   1.00   Richards et al. 2006            1  -24.600   -6.741      0.300    0.300    0.015    0.015
  0.80   1.00   Richards et al. 2006            1  -24.000   -6.399      0.300    0.300    0.010    0.010
  0.80   1.00   Richards et al. 2006            0  -23.400   -6.413      0.300    0.300    0.015    0.015
  1.00   1.20   Milliquas DR16Q gG              1  -28.200   -10.176     0.300    0.300    0.518    0.763
  1.00   1.20   Milliquas DR16Q gG              1  -27.000   -9.273      0.300    0.300    0.174    0.184
  1.00   1.20   Milliquas DR16Q gG              1  -26.400   -8.477      0.300    0.300    0.065    0.066
  1.00   1.20   Milliquas DR16Q gG              1  -25.800   -7.909      0.300    0.300    0.033    0.033
  1.00   1.20   Milliquas DR16Q gG              1  -25.200   -7.324      0.300    0.300    0.017    0.017
  1.00   1.20   Milliquas DR16Q gG              1  -24.600   -6.846      0.300    0.300    0.009    0.009
  1.00   1.20   Milliquas DR16Q gG              1  -24.000   -6.529      0.300    0.300    0.007    0.007
  1.00   1.20   Milliquas DR16Q gG              1  -23.400   -6.518      0.300    0.300    0.006    0.006
  1.00   1.20   Milliquas DR16Q gG              1  -22.800   -6.384      0.300    0.300    0.006    0.006
  1.00   1.20   Milliquas DR16Q gG              1  -22.200   -6.400      0.300    0.300    0.006    0.006
  1.00   1.20   Milliquas DR16Q gG              1  -21.600   -6.789      0.300    0.300    0.009    0.009
  1.00   1.20   Milliquas DR16Q gG              1  -21.000   -7.674      0.300    0.300    0.025    0.025
  1.00   1.20   Milliquas DR16Q gG              1  -20.400   -8.875      0.300    0.300    0.106    0.109
  1.00   1.20   Milliquas DR16Q gG              1  -19.800   -10.176     0.300    0.300    0.518    0.763
  1.00   1.20   Milliquas DR16Q gG              1  -18.000   -9.222      0.300    0.300    0.295    0.341
