# zmean zmin  zmax  phi_star  phi_star_err    M_star  M_star_err        alpha  alpha_err        beta    beta_err
0.304  0.100  0.400  -7.403  -5.674  -5.757  -24.242  -21.176  -21.539  -4.371  -2.642  -2.860  -2.169  -0.288  -0.704  
0.500  0.400  0.600  -6.563  -5.857  -6.295  -23.669  -22.231  -23.220  -3.600  -2.817  -3.257  -1.722  -0.922  -1.508  
0.699  0.600  0.800  -7.136  -6.422  -6.913  -25.034  -24.075  -24.751  -4.479  -3.403  -3.974  -2.153  -1.828  -2.031  
0.902  0.800  1.000  -6.727  -6.313  -6.511  -24.982  -24.374  -24.687  -3.984  -3.477  -3.717  -1.991  -1.691  -1.816  
1.102  1.000  1.200  -6.371  -6.092  -6.237  -24.915  -24.482  -24.721  -3.839  -3.504  -3.662  -1.755  -1.556  -1.671  
1.298  1.200  1.400  -6.353  -6.042  -6.219  -25.209  -24.729  -25.000  -3.747  -3.421  -3.580  -1.809  -1.466  -1.715  
1.502  1.400  1.600  -6.368  -6.085  -6.223  -25.477  -25.066  -25.276  -3.923  -3.590  -3.742  -1.806  -1.603  -1.707  
1.701  1.600  1.800  -6.297  -6.131  -6.215  -25.594  -25.342  -25.473  -3.920  -3.661  -3.784  -1.703  -1.586  -1.646  
1.976  1.800  2.200  -6.587  -6.067  -6.357  -26.096  -25.368  -25.788  -3.948  -3.509  -3.726  -2.004  -1.550  -1.848  
2.302  2.200  2.400  -6.854  -5.673  -5.940  -25.590  -24.220  -25.033  -4.209  -2.727  -3.001  -1.682  -1.218  -1.453  
2.446  2.400  2.500  -6.679  -6.017  -6.312  -26.299  -25.074  -25.706  -4.099  -2.911  -3.379  -1.796  -1.267  -1.504  
2.548  2.500  2.600  -6.782  -5.744  -6.508  -26.359  -24.396  -25.954  -4.126  -2.711  -3.442  -1.923  -0.729  -1.778  
2.645  2.600  2.700  -5.901  -5.726  -5.787  -24.998  -24.425  -24.650  -3.017  -2.637  -2.790  -0.872  -0.351  -0.583  
2.746  2.700  2.800  -6.273  -5.987  -6.128  -25.930  -25.272  -25.643  -3.864  -2.967  -3.381  -1.293  -0.967  -1.143  
2.850  2.800  2.900  -6.453  -5.924  -6.185  -26.251  -24.884  -25.669  -3.520  -2.466  -2.891  -1.446  -0.967  -1.244  
2.950  2.900  3.000  -6.853  -6.189  -6.644  -26.735  -25.389  -26.391  -4.632  -2.669  -3.545  -1.747  -1.394  -1.632  
3.050  3.000  3.100  -6.768  -6.474  -6.625  -26.486  -25.974  -26.267  -4.645  -3.462  -4.005  -1.659  -1.436  -1.559  
3.148  3.100  3.200  -7.055  -5.987  -6.430  -27.013  -24.620  -25.810  -3.804  -2.430  -2.866  -1.830  -0.950  -1.454  
3.246  3.200  3.300  -8.680  -6.752  -7.487  -29.891  -25.935  -27.539  -5.383  -2.374  -3.541  -1.992  -1.677  -1.898  
3.342  3.300  3.400  -8.899  -5.693  -7.661  -30.460  -24.300  -27.818  -5.880  -2.254  -3.641  -2.147  -1.768  -2.044  
3.442  3.400  3.500  -7.336  -6.385  -6.743  -27.795  -25.507  -26.645  -4.671  -2.313  -3.269  -1.644  -0.720  -1.249  
3.870  3.700  4.100  -8.057  -7.783  -7.923  -27.486  -27.158  -27.328  -5.621  -4.510  -5.045  -2.046  -1.784  -1.924  
4.344  4.100  4.700  -8.663  -6.730  -8.118  -27.780  -25.086  -27.082  -4.544  -3.076  -3.621  -2.414  -2.095  -2.300  
4.923  4.700  5.500  -10.519  -7.673  -8.982  -29.989  -25.964  -27.826  -5.397  -2.864  -3.899  -2.529  -2.190  -2.408  
6.000  5.500  6.500  -12.213  -11.259  -11.775  -31.701  -30.168  -31.016  -6.512  -4.467  -5.469  -2.528  -2.341  -2.435  
7.052  6.500  8.500  -11.899  -9.104  -10.333  -31.046  -27.105  -29.144  -6.483  -4.402  -5.400  -2.909  -0.557  -1.628  
