# File: rhoqso_output_data
# Storing the data points and its uncertainities
# z, uzerr, lzerr, rho, rho_up, rho_low
#
# Storing the data points and its uncertainities
2.746, 0.04555, 0.05445, 1.382e-06, 6.056e-08, 3.165e-08, -24
2.85, 0.0502, 0.0498, 1.285e-06, 1.76e-08, 8.36e-08, -24
2.95, 0.05016, 0.04984, 1.941e-06, 7.76e-07, 6.84e-07, -24
3.05, 0.05016, 0.04984, 1.173e-06, 1.587e-07, 9.034e-08, -24
3.148, 0.04846, 0.05154, 0.0002499, 0.000249, 0.0002489, -24
3.246, 0.04611, 0.05389, 8.135e-07, 6.131e-09, 6.816e-08, -24
3.342, 0.04206, 0.05794, 2.832e-06, 1.962e-06, 1.845e-06, -24
3.442, 0.04243, 0.05757, 1.016e-06, 4.631e-07, 2.653e-07, -24
3.87, 0.1699, 0.2301, 2.426e-07, 3.552e-08, 3.458e-08, -24
4.344, 0.244, 0.356, 3.318e-07, 7.96e-08, 5.844e-08, -24
4.923, 0.2234, 0.5766, 1.486e-07, 4.476e-08, 6.28e-09, -24
6, 0.4996, 0.5004, 1.698e-08, 3.223e-09, 2.688e-09, -24
7.052, 0.5517, 1.448, 9.457e-08, 9.418e-08, 3.926e-08, -24
#
# Storing the data points and its uncertainities
0.3041, 0.2041, 0.09588, 6.212e-10, 6.135e-10, 2.389e-10, -27
0.4996, 0.09964, 0.1004, 1.597e-10, 1.03e-10, 1.079e-10, -27
0.699, 0.09895, 0.101, 4.039e-08, 4.032e-08, 4.003e-08, -27
0.9016, 0.1016, 0.09841, 5.314e-10, 1.377e-10, 1.48e-10, -27
1.102, 0.1024, 0.09761, 1.167e-09, 2.042e-10, 2.908e-10, -27
1.298, 0.09839, 0.1016, 5.096e-09, 2.589e-09, 1.815e-09, -27
1.502, 0.1023, 0.09772, 4.503e-09, 9.766e-10, 1.273e-10, -27
1.701, 0.1006, 0.09937, 8.219e-09, 2.361e-09, 9.034e-10, -27
1.976, 0.1764, 0.2236, 1.078e-08, 3.57e-10, 8.398e-10, -27
2.302, 0.1024, 0.0976, 3.573e-08, 3.379e-08, 9.87e-09, -27
2.446, 0.04574, 0.05426, 2.579e-08, 1.271e-08, 1.177e-09, -27
2.548, 0.04787, 0.05213, 1.864e-06, 1.855e-06, 1.844e-06, -27
2.645, 0.04545, 0.05455, 2.743e-07, 2.546e-07, 2.443e-07, -27
2.746, 0.04555, 0.05445, 2.393e-08, 6.8e-09, 6.425e-09, -27
2.85, 0.0502, 0.0498, 4.716e-08, 1.8e-08, 1.761e-08, -27
2.95, 0.05016, 0.04984, 2.857e-08, 1.253e-08, 1.397e-08, -27
3.05, 0.05016, 0.04984, 1.503e-08, 3.831e-09, 3.762e-09, -27
3.148, 0.04846, 0.05154, 6.641e-06, 6.619e-06, 6.6e-06, -27
3.246, 0.04611, 0.05389, 3.493e-08, 1.342e-08, 1.488e-08, -27
3.342, 0.04206, 0.05794, 8.814e-05, 8.812e-05, 8.81e-05, -27
3.442, 0.04243, 0.05757, 5.019e-08, 2.088e-08, 1.897e-08, -27
3.87, 0.1699, 0.2301, 6.241e-09, 3.823e-10, 3.601e-10, -27
4.344, 0.244, 0.356, 3.038e-09, 2.809e-10, 3.565e-10, -27
4.923, 0.2234, 0.5766, 1.556e-09, 1.841e-10, 2.645e-10, -27
6, 0.4996, 0.5004, 3.174e-10, 8.37e-11, 3.53e-11, -27
7.052, 0.5517, 1.448, 2.204e-10, 1.979e-10, 2.245e-11, -27
