# The data points with bad points for the QLF at different redshift bins are given here.
# badness 1 implies the points are the bad points. 
# The columns are as follows:
# zmin   zmax   label                     badness   bad_prob   mag       mag_err    logphi    map_log_phi   uperr    downerr   log_err  residual   sig_dif   prob
  1.20   1.40   Croom et al. 2009               0     0.010    -23.400   0.300      -5.817       -5.796     0.031    0.031     0.031    -0.021     -0.666    5.053e-01
  1.20   1.40   Croom et al. 2009               0     0.007    -22.800   0.300      -5.594       -5.607     0.024    0.024     0.024     0.013      0.556    5.779e-01
  1.20   1.40   Croom et al. 2009               1     1.000    -22.200   0.300      -5.631       -5.429     0.026    0.026     0.026    -0.202     -7.719    1.174e-14
  1.20   1.40   Croom et al. 2009               1     1.000    -21.600   0.300      -5.863       -5.255     0.060    0.061     0.061    -0.608    -10.011    1.365e-23
  1.40   1.60   Richards et al. 2006            0     0.011    -28.200   0.300      -9.878       -9.427     0.518    0.763     0.641    -0.451     -0.704    4.814e-01
  1.40   1.60   Richards et al. 2006            0     0.014    -27.600   0.300      -9.033       -8.773     0.187    0.200     0.193    -0.260     -1.343    1.792e-01
  1.40   1.60   Richards et al. 2006            0     0.004    -27.000   0.300      -8.130       -8.127     0.062    0.062     0.062    -0.003     -0.051    9.595e-01
  1.40   1.60   Richards et al. 2006            0     0.005    -26.400   0.300      -7.473       -7.502     0.028    0.028     0.028     0.029      1.034    3.011e-01
  1.40   1.60   Richards et al. 2006            0     0.002    -25.800   0.300      -6.936       -6.934     0.015    0.015     0.015    -0.003     -0.169    8.656e-01
  1.40   1.60   Richards et al. 2006            0     0.002    -25.200   0.300      -6.466       -6.472     0.009    0.009     0.009     0.006      0.735    4.625e-01
  1.40   1.60   Richards et al. 2006            1     1.000    -24.600   0.300      -6.279       -6.141     0.009    0.009     0.009    -0.139    -16.270    1.609e-59
  1.40   1.60   Croom et al. 2009               0     0.023    -25.800   0.300      -7.057       -6.934     0.120    0.123     0.122    -0.124     -1.016    3.095e-01
  1.40   1.60   Croom et al. 2009               0     0.013    -25.200   0.300      -6.533       -6.472     0.056    0.057     0.057    -0.061     -1.080    2.803e-01
  1.40   1.60   Croom et al. 2009               0     0.007    -24.600   0.300      -6.169       -6.141     0.042    0.042     0.042    -0.028     -0.669    5.038e-01
  1.40   1.60   Croom et al. 2009               0     0.007    -24.000   0.300      -5.930       -5.903     0.033    0.033     0.033    -0.027     -0.820    4.122e-01
  1.40   1.60   Croom et al. 2009               0     0.043    -23.400   0.300      -5.654       -5.709     0.024    0.024     0.024     0.055      2.280    2.263e-02
  1.40   1.60   Croom et al. 2009               0     0.005    -22.800   0.300      -5.551       -5.531     0.023    0.023     0.023    -0.020     -0.858    3.907e-01
  1.40   1.60   Croom et al. 2009               1     1.000    -22.200   0.300      -5.595       -5.359     0.029    0.029     0.029    -0.235     -7.995    1.293e-15
  1.60   1.80   Richards et al. 2006            0     0.011    -28.200   0.300      -9.601       -9.245     0.365    0.451     0.408    -0.356     -0.872    3.830e-01
  1.60   1.80   Richards et al. 2006            0     0.005    -27.600   0.300      -8.560       -8.584     0.101    0.103     0.102     0.024      0.235    8.144e-01
  1.60   1.80   Richards et al. 2006            0     0.004    -27.000   0.300      -7.958       -7.932     0.049    0.049     0.049    -0.026     -0.524    6.003e-01
  1.60   1.80   Richards et al. 2006            0     0.002    -26.400   0.300      -7.307       -7.310     0.022    0.022     0.022     0.003      0.141    8.883e-01
  1.60   1.80   Richards et al. 2006            0     0.001    -25.800   0.300      -6.762       -6.761     0.012    0.012     0.012    -0.000     -0.005    9.957e-01
  1.60   1.80   Richards et al. 2006            0     0.001    -25.200   0.300      -6.344       -6.343     0.007    0.007     0.007    -0.000     -0.054    9.567e-01
  1.60   1.80   Richards et al. 2006            1     1.000    -24.600   0.300      -6.458       -6.060     0.018    0.018     0.018    -0.398    -21.546    5.737e-103
  1.60   1.80   Croom et al. 2009               0     0.036    -26.400   0.300      -7.088       -7.310     0.203    0.219     0.211     0.222      1.051    2.931e-01
  1.60   1.80   Croom et al. 2009               0     0.008    -25.800   0.300      -6.750       -6.761     0.071    0.072     0.071     0.012      0.167    8.670e-01
  1.60   1.80   Croom et al. 2009               0     0.006    -25.200   0.300      -6.327       -6.343     0.046    0.047     0.047     0.016      0.347    7.290e-01
  1.60   1.80   Croom et al. 2009               0     0.013    -24.600   0.300      -6.116       -6.060     0.038    0.039     0.039    -0.056     -1.450    1.470e-01
  1.60   1.80   Croom et al. 2009               0     0.004    -24.000   0.300      -5.841       -5.857     0.031    0.031     0.031     0.016      0.509    6.107e-01
  1.60   1.80   Croom et al. 2009               0     0.006    -23.400   0.300      -5.656       -5.686     0.023    0.023     0.023     0.030      1.342    1.795e-01
  1.60   1.80   Croom et al. 2009               0     0.004    -22.800   0.300      -5.548       -5.527     0.023    0.023     0.023    -0.021     -0.936    3.495e-01
  1.60   1.80   Croom et al. 2009               1     1.000    -22.200   0.300      -5.780       -5.371     0.060    0.061     0.061    -0.409     -6.738    1.601e-11
  1.80   2.20   Richards et al. 2006            0     0.003    -28.800   0.300      -9.746       -9.608     0.295    0.341     0.318    -0.138     -0.434    6.642e-01
  1.80   2.20   Richards et al. 2006            0     0.005    -28.200   0.300      -9.109       -8.964     0.134    0.139     0.136    -0.145     -1.066    2.863e-01
  1.80   2.20   Richards et al. 2006            0     0.003    -27.600   0.300      -8.304       -8.327     0.050    0.050     0.050     0.023      0.454    6.497e-01
  1.80   2.20   Richards et al. 2006            0     0.003    -27.000   0.300      -7.729       -7.709     0.025    0.025     0.025    -0.020     -0.777    4.371e-01
  1.80   2.20   Richards et al. 2006            0     0.003    -26.400   0.300      -7.123       -7.138     0.012    0.012     0.012     0.015      1.170    2.421e-01
  1.80   2.20   Richards et al. 2006            0     0.001    -25.800   0.300      -6.657       -6.654     0.007    0.007     0.007    -0.004     -0.488    6.258e-01
  1.80   2.20   Richards et al. 2006            1     1.000    -25.200   0.300      -6.471       -6.283     0.008    0.008     0.008    -0.188    -24.180    3.581e-129
  1.80   2.20   Croom et al. 2009               0     0.080    -27.000   0.300      -7.382       -7.709     0.518    0.763     0.641     0.328      0.512    6.090e-01
  1.80   2.20   Croom et al. 2009               0     0.020    -26.400   0.300      -7.054       -7.138     0.076    0.076     0.076     0.084      1.105    2.694e-01
  1.80   2.20   Croom et al. 2009               0     0.012    -25.800   0.300      -6.610       -6.654     0.042    0.042     0.042     0.044      1.027    3.043e-01
  1.80   2.20   Croom et al. 2009               0     0.007    -25.200   0.300      -6.301       -6.283     0.031    0.031     0.031    -0.019     -0.598    5.495e-01
  1.80   2.20   Croom et al. 2009               0     0.008    -24.600   0.300      -5.978       -6.003     0.024    0.024     0.024     0.025      1.041    2.980e-01
  1.80   2.20   Croom et al. 2009               0     0.004    -24.000   0.300      -5.764       -5.773     0.019    0.019     0.019     0.009      0.468    6.397e-01
  1.80   2.20   Croom et al. 2009               1     1.000    -23.400   0.300      -5.662       -5.564     0.017    0.017     0.017    -0.098     -5.786    7.220e-09
  1.80   2.20   Croom et al. 2009               1     1.000    -22.800   0.300      -5.699       -5.364     0.022    0.022     0.022    -0.335    -15.001    7.211e-51
  2.20   2.40   Ross et al. 2013                0     0.031    -27.000   0.300      -7.400       -7.487     0.094    0.096     0.095     0.087      0.918    3.586e-01
  2.20   2.40   Ross et al. 2013                0     0.008    -26.400   0.300      -7.074       -7.051     0.033    0.033     0.033    -0.023     -0.707    4.793e-01
  2.20   2.40   Ross et al. 2013                0     0.004    -25.800   0.300      -6.631       -6.649     0.019    0.019     0.019     0.017      0.911    3.624e-01
  2.20   2.40   Ross et al. 2013                0     0.002    -25.200   0.300      -6.297       -6.303     0.013    0.013     0.013     0.006      0.425    6.709e-01
  2.20   2.40   Ross et al. 2013                0     0.001    -24.600   0.300      -6.035       -6.030     0.010    0.010     0.010    -0.006     -0.548    5.838e-01
  2.20   2.40   Ross et al. 2013                0     0.005    -24.000   0.300      -5.807       -5.825     0.010    0.010     0.010     0.018      1.895    5.812e-02
  2.20   2.40   Ross et al. 2013                0     0.226    -23.400   0.300      -5.703       -5.668     0.010    0.010     0.010    -0.035     -3.420    6.261e-04
  2.20   2.40   Ross et al. 2013                0     0.002    -22.800   0.300      -5.521       -5.538     0.017    0.017     0.017     0.017      1.037    2.999e-01
  2.20   2.40   Richards et al. 2006            1     1.000    -26.400   0.300      -9.880       -7.051     0.518    0.763     0.641    -2.829     -4.417    1.001e-05
  2.20   2.40   Richards et al. 2006            1     1.000    -25.800   0.300      -9.371       -6.649     0.295    0.341     0.318    -2.723     -8.558    1.150e-17
  2.20   2.40   Richards et al. 2006            1     0.987    -25.200   0.300      -8.539       -6.303     0.518    0.763     0.641    -2.236     -3.491    4.806e-04
  2.40   2.50   Ross et al. 2013                0     0.008    -27.000   0.300      -7.526       -7.554     0.106    0.109     0.108     0.027      0.252    8.009e-01
  2.40   2.50   Ross et al. 2013                0     0.004    -26.400   0.300      -7.077       -7.057     0.043    0.043     0.043    -0.020     -0.460    6.457e-01
  2.40   2.50   Ross et al. 2013                0     0.002    -25.800   0.300      -6.647       -6.647     0.026    0.026     0.026     0.000      0.013    9.900e-01
  2.40   2.50   Ross et al. 2013                0     0.002    -25.200   0.300      -6.341       -6.349     0.018    0.018     0.018     0.008      0.455    6.490e-01
  2.40   2.50   Ross et al. 2013                0     0.002    -24.600   0.300      -6.140       -6.141     0.016    0.016     0.016     0.001      0.048    9.619e-01
  2.40   2.50   Ross et al. 2013                0     0.010    -24.000   0.300      -5.952       -5.982     0.015    0.015     0.015     0.029      1.910    5.612e-02
  2.40   2.50   Ross et al. 2013                0     0.004    -23.400   0.300      -5.867       -5.844     0.017    0.017     0.017    -0.024     -1.359    1.741e-01
  2.40   2.50   Ross et al. 2013                1     1.000    -22.800   0.300      -5.532       -5.713     0.035    0.035     0.035     0.181      5.236    1.642e-07
  2.50   2.60   Ross et al. 2013                0     0.010    -27.000   0.300      -7.600       -7.666     0.099    0.101     0.100     0.066      0.660    5.095e-01
  2.50   2.60   Ross et al. 2013                0     0.005    -26.400   0.300      -7.180       -7.192     0.048    0.049     0.048     0.011      0.236    8.131e-01
  2.50   2.60   Ross et al. 2013                0     0.022    -25.800   0.300      -6.718       -6.775     0.028    0.028     0.028     0.057      2.037    4.168e-02
  2.50   2.60   Ross et al. 2013                0     0.065    -25.200   0.300      -6.383       -6.437     0.021    0.021     0.021     0.054      2.621    8.775e-03
  2.50   2.60   Ross et al. 2013                0     0.008    -24.600   0.300      -6.145       -6.174     0.018    0.018     0.018     0.029      1.666    9.568e-02
  2.50   2.60   Ross et al. 2013                0     0.003    -24.000   0.300      -5.946       -5.964     0.017    0.017     0.017     0.018      1.037    2.998e-01
  2.50   2.60   Ross et al. 2013                1     1.000    -23.400   0.300      -5.931       -5.783     0.021    0.021     0.021    -0.148     -6.994    2.671e-12
  2.50   2.60   Ross et al. 2013                0     0.693    -22.800   0.300      -5.423       -5.616     0.056    0.056     0.056     0.193      3.431    6.022e-04
  2.60   2.70   Ross et al. 2013                0     0.000    -27.000   0.300      -7.406       -7.473     0.080    0.081     0.081     0.067      0.832    4.056e-01
  2.60   2.70   Ross et al. 2013                0     0.000    -26.400   0.300      -7.139       -7.054     0.052    0.052     0.052    -0.084     -1.616    1.062e-01
  2.60   2.70   Ross et al. 2013                0     0.000    -25.800   0.300      -6.626       -6.653     0.030    0.030     0.030     0.028      0.911    3.621e-01
  2.60   2.70   Ross et al. 2013                0     0.000    -25.200   0.300      -6.313       -6.305     0.024    0.024     0.024    -0.007     -0.306    7.597e-01
  2.60   2.70   Ross et al. 2013                0     0.000    -24.600   0.300      -6.075       -6.074     0.021    0.021     0.021    -0.001     -0.065    9.478e-01
  2.60   2.70   Ross et al. 2013                0     0.000    -24.000   0.300      -5.995       -5.997     0.021    0.021     0.021     0.002      0.099    9.208e-01
  2.60   2.70   Ross et al. 2013                0     0.000    -23.400   0.300      -6.037       -6.032     0.027    0.027     0.027    -0.005     -0.169    8.657e-01
  2.70   2.80   Ross et al. 2013                0     0.000    -27.000   0.300      -7.460       -7.444     0.112    0.115     0.114    -0.015     -0.135    8.924e-01
  2.70   2.80   Ross et al. 2013                0     0.000    -26.400   0.300      -6.928       -6.930     0.059    0.060     0.060     0.002      0.026    9.793e-01
  2.70   2.80   Ross et al. 2013                0     0.000    -25.800   0.300      -6.509       -6.512     0.040    0.040     0.040     0.002      0.054    9.570e-01
  2.70   2.80   Ross et al. 2013                0     0.000    -25.200   0.300      -6.227       -6.247     0.033    0.033     0.033     0.020      0.628    5.298e-01
  2.70   2.80   Ross et al. 2013                0     0.000    -24.600   0.300      -6.165       -6.115     0.030    0.030     0.030    -0.050     -1.650    9.887e-02
  2.70   2.80   Ross et al. 2013                0     0.000    -24.000   0.300      -6.007       -6.049     0.025    0.025     0.025     0.042      1.687    9.167e-02
  2.70   2.80   Ross et al. 2013                0     0.000    -23.400   0.300      -6.037       -6.005     0.034    0.034     0.034    -0.032     -0.942    3.464e-01
