# LRD Data from Krishna from Kocevski et al
# Reading columns from the file: ['Survey', 'ID', 'Z_best', 'M_UV - measured at rest-frame 1450A']
# Name                z     M1450
PRIMER-COS 39253      8.56  -20 
PRIMER-COS 42535      6.49  -18.02
PRIMER-COS 44560      7.45  -18.62
PRIMER-COS 46911      10.6  -18.84
PRIMER-COS 49030      7.48  -17.66
PRIMER-COS 52735      6.94  -18.88
PRIMER-COS 55624      6.22  -16.22
PRIMER-COS 57613      6.37  -17.74
PRIMER-COS 57671      5.17  -17.71
PRIMER-COS 58401      5.2   -17.38
PRIMER-COS 63553      5.44  -18.51
PRIMER-COS 65459      7.45  -17.47
PRIMER-COS 67746      9.16  -18.95
PRIMER-COS 70533      11.92  -18.85
PRIMER-COS 74251      6.43  -18.14
PRIMER-COS 75330      5.56  -17.92
PRIMER-COS 78729      10.45  -20.12
PRIMER-COS 79014      9.79  -19.31
PRIMER-COS 80637      7.45  -17.96
PRIMER-COS 81528      7.93  -19.4
PRIMER-COS 86997      6.4   -17.98
PRIMER-COS 93733      9.04  -18.53
PRIMER-COS 100798     5.2   -18.3
PRIMER-COS 101131     9.31  -18.41
PRIMER-COS 108622     6.34  -17.63
PRIMER-COS 111762     6.1   -16.52
PRIMER-COS 113415     10.69  -17.58
PRIMER-COS 114914     5.32  -17.41
PRIMER-UDS 1113       5.83  -18.66
PRIMER-UDS 1800       5.17  -19.01
PRIMER-UDS 2050       6.43  -19.36
PRIMER-UDS 2154       6.37  -19.87
PRIMER-UDS 2557       3.52  -17.61
PRIMER-UDS 3510       5.92  -18.81
PRIMER-UDS 4090       5.17  -18.17
PRIMER-UDS 4396       5.83  -19.09
PRIMER-UDS 4828       4.51  -19.55
PRIMER-UDS 5280       5.17  -18.96
PRIMER-UDS 5480       5.8   -20 
PRIMER-UDS 5719       5.2   -18.21
PRIMER-UDS 6563       5.74  -19.2
PRIMER-UDS 6817       4.75  -18.71
PRIMER-UDS 9235       4.45  -19.07
PRIMER-UDS 10330      5.38  -18.54
PRIMER-UDS 13468      6.97  -21.08
PRIMER-UDS 13624      5.89  -19.47
PRIMER-UDS 14126      7.39  -18.98
PRIMER-UDS 14305      4.42  -18.98
PRIMER-UDS 14388      6.97  -19.7
PRIMER-UDS 15912      6.61  -18.3
PRIMER-UDS 17160      8.14  -19.85
PRIMER-UDS 17818      6.37  -19 
PRIMER-UDS 18052      6.4   -18.33
PRIMER-UDS 18356      4.36  -19.03
PRIMER-UDS 18962      7.36  -18.48
PRIMER-UDS 19877      4.39  -19.49
PRIMER-UDS 21550      5.2   -17.27
PRIMER-UDS 21988      7.45  -19.84
PRIMER-UDS 22699      5.38  -19.37
PRIMER-UDS 22980      6.4   -18.79
PRIMER-UDS 23172      5.23  -18.63
PRIMER-UDS 23515      5.2   -19.4
PRIMER-UDS 23662      6.43  -19.36
PRIMER-UDS 25458      6.34  -19.21
PRIMER-UDS 26181      4.57  -18.1
PRIMER-UDS 27299      4.36  -20.59
PRIMER-UDS 27926      4.63  -19.24
PRIMER-UDS 29881      6.17  -18.06
PRIMER-UDS 30549      5.41  -18.5
PRIMER-UDS 31092      5.68  -19.72
PRIMER-UDS 31813      4.48  -19.55
PRIMER-UDS 31918      2.44  -15.88
PRIMER-UDS 32438      3.5   -16.77
PRIMER-UDS 33438      3.82  -18.44
PRIMER-UDS 33823      3.1   -18.09
PRIMER-UDS 34633      2.44  -17.75
PRIMER-UDS 34815      5.2   -18.53
