# LRD Data from Krishna from Kocevski et al
# Survey: CEERS
# The value or p is taken to be 1 for now
# counter   z       M1450   p
  185       2.45    -20.42  1.00000
  186       2.45    -20.37  1.00000
  187       2.45    -20.32  1.00000
  188       2.45    -20.27  1.00000
  189       2.45    -20.22  1.00000
  190       2.45    -20.17  1.00000
  191       2.45    -20.12  1.00000
  192       2.45    -20.07  1.00000
  193       2.45    -20.02  1.00000
  194       2.45    -19.97  1.00000
  195       2.45    -19.92  1.00000
  196       2.45    -19.87  1.00000
  197       2.45    -19.82  1.00000
  198       2.45    -19.77  1.00000
  199       2.45    -19.72  1.00000
  200       2.45    -19.67  1.00000
  201       2.45    -19.62  1.00000
  202       2.45    -19.57  1.00000
  203       2.45    -19.52  1.00000
  204       2.45    -19.47  1.00000
  205       2.45    -19.42  1.00000
  206       2.45    -19.37  1.00000
  207       2.45    -19.32  1.00000
  208       2.45    -19.27  1.00000
  209       2.45    -19.22  1.00000
  210       2.45    -19.17  1.00000
  211       2.45    -19.12  1.00000
  212       2.45    -19.07  1.00000
  213       2.45    -19.02  1.00000
  214       2.45    -18.97  1.00000
  215       2.45    -18.92  1.00000
  216       2.45    -18.87  1.00000
  217       2.45    -18.82  1.00000
  218       2.45    -18.77  1.00000
  219       2.45    -18.72  1.00000
  220       2.45    -18.67  1.00000
  221       2.45    -18.62  1.00000
  222       2.45    -18.57  1.00000
  223       2.45    -18.52  1.00000
  224       2.45    -18.47  1.00000
  225       2.45    -18.42  1.00000
  226       2.45    -18.37  1.00000
  227       2.45    -18.32  1.00000
  228       2.45    -18.27  1.00000
  229       2.45    -18.22  1.00000
  230       2.45    -18.17  1.00000
  231       2.45    -18.12  1.00000
  232       2.45    -18.07  1.00000
  233       2.45    -18.02  1.00000
  234       2.45    -17.97  1.00000
  235       2.45    -17.92  1.00000
  236       2.45    -17.87  1.00000
  237       2.45    -17.82  1.00000
  238       2.45    -17.77  1.00000
  239       2.45    -17.72  1.00000
  240       2.45    -17.67  1.00000
  241       2.45    -17.62  1.00000
  242       2.45    -17.57  1.00000
  243       2.45    -17.52  1.00000
  244       2.45    -17.47  1.00000
  245       2.45    -17.42  1.00000
  246       2.45    -17.37  1.00000
  247       2.45    -17.32  1.00000
  248       2.45    -17.27  1.00000
  249       2.45    -17.22  1.00000
  250       2.45    -17.17  1.00000
  251       2.45    -17.12  1.00000
  252       2.45    -17.07  1.00000
  253       2.45    -17.02  1.00000
  254       2.45    -16.97  1.00000
  255       2.45    -16.92  1.00000
  256       2.45    -16.87  1.00000
  257       2.45    -16.82  1.00000
  258       2.45    -16.77  1.00000
  259       2.45    -16.72  1.00000
  260       2.45    -16.67  1.00000
  261       2.45    -16.62  1.00000
  262       2.45    -16.57  1.00000
  263       2.45    -16.52  1.00000
  264       2.45    -16.47  1.00000
  265       2.45    -16.42  1.00000
  266       2.45    -16.37  1.00000
  267       2.45    -16.32  1.00000
  268       2.45    -16.27  1.00000
  269       2.45    -16.22  1.00000
  270       2.45    -16.17  1.00000
  271       2.45    -16.12  1.00000
  272       2.45    -16.07  1.00000
  273       2.45    -16.02  1.00000
  274       2.45    -15.97  1.00000
  275       2.45    -15.92  1.00000
  276       2.45    -15.87  1.00000
  277       2.45    -15.82  1.00000
  278       2.45    -15.77  1.00000
  279       2.45    -15.72  1.00000
  280       2.45    -15.67  1.00000
  281       2.45    -15.62  1.00000
  282       2.45    -15.57  1.00000
  283       2.45    -15.52  1.00000
  284       2.45    -15.47  1.00000
  285       2.45    -15.42  1.00000
  286       2.45    -15.37  1.00000
  287       2.50    -22.47  1.00000
  288       2.50    -22.42  1.00000
  289       2.50    -22.37  1.00000
  290       2.50    -22.32  1.00000
  291       2.50    -22.27  1.00000
  292       2.50    -22.22  1.00000
  293       2.50    -22.17  1.00000
  294       2.50    -22.12  1.00000
  295       2.50    -22.07  1.00000
  296       2.50    -22.02  1.00000
  297       2.50    -21.97  1.00000
  298       2.50    -21.92  1.00000
  299       2.50    -21.87  1.00000
  300       2.50    -21.82  1.00000
  301       2.50    -21.77  1.00000
  302       2.50    -21.72  1.00000
  303       2.50    -21.67  1.00000
  304       2.50    -21.62  1.00000
  305       2.50    -21.57  1.00000
  306       2.50    -21.52  1.00000
  307       2.50    -21.47  1.00000
  308       2.50    -21.42  1.00000
  309       2.50    -21.37  1.00000
  310       2.50    -21.32  1.00000
  311       2.50    -21.27  1.00000
  312       2.50    -21.22  1.00000
  313       2.50    -21.17  1.00000
  314       2.50    -21.12  1.00000
  315       2.50    -21.07  1.00000
  316       2.50    -21.02  1.00000
  317       2.50    -20.97  1.00000
  318       2.50    -20.92  1.00000
  319       2.50    -20.87  1.00000
  320       2.50    -20.82  1.00000
  321       2.50    -20.77  1.00000
  322       2.50    -20.72  1.00000
  323       2.50    -20.67  1.00000
  324       2.50    -20.62  1.00000
  325       2.50    -20.57  1.00000
  326       2.50    -20.52  1.00000
  327       2.50    -20.47  1.00000
  328       2.50    -20.42  1.00000
  329       2.50    -20.37  1.00000
  330       2.50    -20.32  1.00000
  331       2.50    -20.27  1.00000
  332       2.50    -20.22  1.00000
  333       2.50    -20.17  1.00000
  334       2.50    -20.12  1.00000
  335       2.50    -20.07  1.00000
  336       2.50    -20.02  1.00000
  337       2.50    -19.97  1.00000
  338       2.50    -19.92  1.00000
  339       2.50    -19.87  1.00000
  340       2.50    -19.82  1.00000
  341       2.50    -19.77  1.00000
  342       2.50    -19.72  1.00000
  343       2.50    -19.67  1.00000
  344       2.50    -19.62  1.00000
  345       2.50    -19.57  1.00000
  346       2.50    -19.52  1.00000
  347       2.50    -19.47  1.00000
  348       2.50    -19.42  1.00000
  349       2.50    -19.37  1.00000
  350       2.50    -19.32  1.00000
  351       2.50    -19.27  1.00000
  352       2.50    -19.22  1.00000
  353       2.50    -19.17  1.00000
  354       2.50    -19.12  1.00000
  355       2.50    -19.07  1.00000
  356       2.50    -19.02  1.00000
  357       2.50    -18.97  1.00000
  358       2.50    -18.92  1.00000
  359       2.50    -18.87  1.00000
  360       2.50    -18.82  1.00000
  361       2.50    -18.77  1.00000
  362       2.50    -18.72  1.00000
  363       2.50    -18.67  1.00000
  364       2.50    -18.62  1.00000
  365       2.50    -18.57  1.00000
  366       2.50    -18.52  1.00000
  367       2.50    -18.47  1.00000
  368       2.50    -18.42  1.00000
  369       2.50    -18.37  1.00000
  370       2.50    -18.32  1.00000
  371       2.50    -18.27  1.00000
  372       2.50    -18.22  1.00000
  373       2.50    -18.17  1.00000
  374       2.50    -18.12  1.00000
  375       2.50    -18.07  1.00000
  376       2.50    -18.02  1.00000
  377       2.50    -17.97  1.00000
  378       2.50    -17.92  1.00000
  379       2.50    -17.87  1.00000
  380       2.50    -17.82  1.00000
  381       2.50    -17.77  1.00000
  382       2.50    -17.72  1.00000
  383       2.50    -17.67  1.00000
  384       2.50    -17.62  1.00000
  385       2.50    -17.57  1.00000
  386       2.50    -17.52  1.00000
  387       2.50    -17.47  1.00000
  388       2.50    -17.42  1.00000
  389       2.50    -17.37  1.00000
  390       2.50    -17.32  1.00000
  391       2.50    -17.27  1.00000
  392       2.50    -17.22  1.00000
  393       2.50    -17.17  1.00000
  394       2.50    -17.12  1.00000
  395       2.50    -17.07  1.00000
  396       2.50    -17.02  1.00000
  397       2.50    -16.97  1.00000
  398       2.50    -16.92  1.00000
  399       2.50    -16.87  1.00000
  400       2.50    -16.82  1.00000
  401       2.50    -16.77  1.00000
  402       2.50    -16.72  1.00000
  403       2.50    -16.67  1.00000
  404       2.50    -16.62  1.00000
  405       2.50    -16.57  1.00000
  406       2.50    -16.52  1.00000
  407       2.50    -16.47  1.00000
  408       2.50    -16.42  1.00000
  409       2.50    -16.37  1.00000
  410       2.50    -16.32  1.00000
  411       2.50    -16.27  1.00000
  412       2.50    -16.22  1.00000
  413       2.50    -16.17  1.00000
  414       2.50    -16.12  1.00000
  415       2.50    -16.07  1.00000
  416       2.50    -16.02  1.00000
  417       2.50    -15.97  1.00000
  418       2.50    -15.92  1.00000
  419       2.50    -15.87  1.00000
  420       2.50    -15.82  1.00000
  421       2.50    -15.77  1.00000
  422       2.50    -15.72  1.00000
  423       2.50    -15.67  1.00000
  424       2.50    -15.62  1.00000
  425       2.50    -15.57  1.00000
  426       2.50    -15.52  1.00000
  427       2.50    -15.47  1.00000
  428       2.50    -15.42  1.00000
  429       2.50    -15.37  1.00000
  430       2.55    -22.47  1.00000
  431       2.55    -22.42  1.00000
  432       2.55    -22.37  1.00000
  433       2.55    -22.32  1.00000
  434       2.55    -22.27  1.00000
  435       2.55    -22.22  1.00000
  436       2.55    -22.17  1.00000
  437       2.55    -22.12  1.00000
  438       2.55    -22.07  1.00000
  439       2.55    -22.02  1.00000
  440       2.55    -21.97  1.00000
  441       2.55    -21.92  1.00000
  442       2.55    -21.87  1.00000
  443       2.55    -21.82  1.00000
  444       2.55    -21.77  1.00000
  445       2.55    -21.72  1.00000
  446       2.55    -21.67  1.00000
  447       2.55    -21.62  1.00000
  448       2.55    -21.57  1.00000
  449       2.55    -21.52  1.00000
  450       2.55    -21.47  1.00000
  451       2.55    -21.42  1.00000
  452       2.55    -21.37  1.00000
  453       2.55    -21.32  1.00000
  454       2.55    -21.27  1.00000
  455       2.55    -21.22  1.00000
